id,addedDate,name,author,difficulty,length,shortDescription,longDescription,imageURL,minecraftVersion,downloadCount,series,objectives,bonusObjectives,mapType,downloadLink,published,hasDownload,shortDesc_clean,shortDesc_clean_noStop,longDesc_clean,longDesc_clean_noStop
2,20190117,Totality,Cold Fusion,Easy,Short,New to CTMs? Start here! Explore a futuristic city that has been cast into an eternal eclipse.,"Crash-landed in an ancient city inhabited by very talkative robots, your only hope of escape is to locate four ancient batteries known as sources. Build your way to victory with an infinite supply of holoblocks as you explore Sol Corp City and unravel its dark and mysterious past...
<br><br>
Totality is a scifi adventure map from the creator of Gloria, Monstrosity, and the adventure branch of Diversity 2. While the map is played in adventure mode, its gameplay takes inspiration from the CTM (""Complete the Monument"") genre of maps. Dungeons are carefully designed to not only test your combat skills, but also your ability to build tactically. Shape your environment to your advantage to overcome the map's many challenges.",/map_img/1.png,1.17,9356,,4,0,Adventure,https://www.curseforge.com/minecraft/worlds/totality,1,0,new to ctms start here explore a futuristic city that has been cast into an eternal eclipse,start futuristic city cast eternal eclipse,crashlanded in an ancient city inhabited by very talkative robots your only hope of escape is to locate four ancient batteries known as sources build your way to victory with an infinite supply of holoblocks as you explore sol corp city and unravel its dark and mysterious past brbr totality is a scifi adventure map from the creator of gloria monstrosity and the adventure branch of diversity two while the map is played in adventure mode its gameplay takes inspiration from the ctm complete the monument genre of maps dungeons are carefully designed to not only test your combat skills but also your ability to build tactically shape your environment to your advantage to overcome the maps many challenges,crashlanded ancient city inhabited talkative robots hope escape locate four ancient batteries known sources build way victory infinite supply holoblocks sol corp city unravel dark mysterious past brbr totality scifi adventure creator gloria monstrosity adventure branch diversity two played adventure mode gameplay takes inspiration ctm complete monument genre dungeons carefully designed test combat skills also ability build tactically shape environment advantage overcome many challenges
3,20190118,Titan's Revolt,ProjectCTM,Hard,Long,"Created by over 20 talented map makers and nearly 5 years in the making, the sequel to the acclaimed Pantheon finally arrives: TITAN'S REVOLT.","Created by over 20 talented map makers and nearly 5 years in the making, the sequel to the acclaimed Pantheon finally arrives: TITAN'S REVOLT.<br><br>

Featuring some of the most challenging gameplay, unique mechanics, and beautiful areas seen in a CTM, be prepared for a real challenge as you lead the fight against the Titans and complete the monument.<br><br>

Managed over the years by Fangride, Csillagvihar, Hybran, Taschneide, and Rockenroll4life, we are proud to finally present this absolutely massive map! <br><br>

With 16 wool to collect, in the classic 1.8.9 style, featuring work from mapmakers like Fangride, ElRichMC & KillerCreeper55, WallcraftMC, Csillagvihar, Kaladun, TikaroHD, Krose, The_Sketch, Blade933, Ragirk, Drago, Draco_Rogue, Xethyros, and many more, with countless amazing CTM maps under their belts, this map may well be the greatest CTM challenge you will ever play.<br><br>

We wish you luck. You'll need it. The Titans are waiting for you.<br><br>

Complete List of Mapmakers in ProjectCTM: Fangride, Taschneide, Hybran, Rockenroll4life, Csillagvihar, LULZ180, Kaladun, MistaGrinch, McWeaksauce, TikaroHD, TheXhen, Krose, ElrichMC, KillerCreeper55, The_Sketch, Browneye414, Drago, Draco_Rogue, bRanN, Xethyros, Bioshockfan90, WittyWhiscash, TyPlaysGames, coolfool88, Blade933, Stickers1342, Catproductions, Fornan2, Wallcraft99, Teewie",/map_img/2.png,1.8.9,8227,The Pantheon Series,16,12,Branching,https://maps.ctmrepository.com/file/CTMMaps/Maps/Titans%20Revolt%20v1.zip,1,0,created by over twenty talented map makers and nearly five years in the making the sequel to the acclaimed pantheon finally arrives titans revolt,created twenty talented makers nearly five years making sequel acclaimed pantheon finally arrives titans revolt,created by over twenty talented map makers and nearly five years in the making the sequel to the acclaimed pantheon finally arrives titans revoltbrbr featuring some of the most challenging gameplay unique mechanics and beautiful areas seen in a ctm be prepared for a real challenge as you lead the fight against the titans and complete the monumentbrbr managed over the years by fangride csillagvihar hybran taschneide and rockenroll4life we are proud to finally present this absolutely massive map brbr with sixteen wool to collect in the classic one hundred and eighty-nine style featuring work from mapmakers like fangride elrichmc killercreeper55 wallcraftmc csillagvihar kaladun tikarohd krose thesketch blade933 ragirk drago dracorogue xethyros and many more with countless amazing ctm maps under their belts this map may well be the greatest ctm challenge you will ever playbrbr we wish you luck youll need it the titans are waiting for youbrbr complete list of mapmakers in projectctm fangride taschneide hybran rockenroll4life csillagvihar lulz180 kaladun mistagrinch mcweaksauce tikarohd thexhen krose elrichmc killercreeper55 thesketch browneye414 drago dracorogue brann xethyros bioshockfan90 wittywhiscash typlaysgames coolfool88 blade933 stickers1342 catproductions fornan2 wallcraft99 teewie,created twenty talented makers nearly five years making sequel acclaimed pantheon finally arrives titans revoltbrbr featuring challenging gameplay unique mechanics beautiful areas seen ctm prepared real challenge lead fight titans complete monumentbrbr managed years fangride csillagvihar hybran taschneide rockenroll4life proud finally present absolutely massive brbr sixteen wool collect classic one hundred eighty-nine style featuring work mapmakers like fangride elrichmc killercreeper55 wallcraftmc csillagvihar kaladun tikarohd krose thesketch blade933 ragirk drago dracorogue xethyros many countless amazing ctm belts may well greatest ctm challenge ever playbrbr wish luck youll need titans waiting youbrbr complete list mapmakers projectctm fangride taschneide hybran rockenroll4life csillagvihar lulz180 kaladun mistagrinch mcweaksauce tikarohd thexhen krose elrichmc killercreeper55 thesketch browneye414 drago dracorogue brann xethyros bioshockfan90 wittywhiscash typlaysgames coolfool88 blade933 stickers1342 catproductions fornan2 wallcraft99 teewie
4,20190118,Monstrosity,Cold Fusion,Medium,Medium,"A great map for newcomers to the CTM genre. Explore a massive network of caves mysteriously abandoned by the once great ARCANE Company. Delve deep enough, and you might just find out why they fled.","Monstrosity is a classic-style CTM filled with devious traps, epic loot, and 12 unique areas to conquer. It is a difficult map but equipment is plentiful, making it a great entry point into the CTM genre.
<br><br>
<b><a href=""https://ctmrepository.com/index.php?action=viewMap&id=316"">Please check out the remastered version here</a></b>
<br><br>
<a href=""https://ctmrepository.com/map_dl/=Monstrosity=+by+ColdFusionGaming.zip"">Download This (OLD) Version</a>
<br><br>
<b><a href=""https://ctmrepository.com/index.php?action=viewMap&id=316"">Please check out the remastered version here</a></b>",/map_img/3.jpg,1.8.8,7247,,12,0,Branching,https://ctmrepository.com/index.php?action=viewMap&id=316,1,0,a great map for newcomers to the ctm genre explore a massive network of caves mysteriously abandoned by the once great arcane company delve deep enough and you might just find out why they fled,great newcomers ctm genre massive network caves mysteriously abandoned great arcane company delve deep enough might find fled,monstrosity is a classicstyle ctm filled with devious traps epic loot and twelve unique areas to conquer it is a difficult map but equipment is plentiful making it a great entry point into the ctm genre brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check out the remastered version hereab brbr a hrefhttpsctmrepositorycommapdlmonstrositybycoldfusiongamingzipdownload this old versiona brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check out the remastered version hereab,monstrosity classicstyle ctm filled devious traps epic loot twelve unique areas conquer difficult equipment plentiful making great entry point ctm genre brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check remastered version hereab brbr hrefhttpsctmrepositorycommapdlmonstrositybycoldfusiongamingzipdownload old versiona brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check remastered version hereab
5,20190118,Unassuming,Tala,Easy,Short,"A simple, straightforward map that is exactly what it looks like on the surface! No tricks, no twists, just pure fun! 
Remember to use your noggin, and have fun!","A simple, straightforward map that is exactly what it looks like on the surface! No tricks, no twists, just pure fun!<br>
Remember to use your noggin, and have fun!<br><br>

Made for Strawberry Jam 18: Mind Games!<br><br>

Changelog v1.2:<br>
-Nerfed Herobrine<br>
-Added more clowns<br>
-Made the mind games involve 1% more brainpower<br>
-Removed fatal bug that allowed players to skip to the end via magic<br><br>

Changelog v1.1:<br>
-Nerfed spawners<br>
-Altered some terrain for easier traversing<br>
-Fixed spawn point issues<br>
-Command block output should now be hidden",/map_img/4.png,1.12,2382,,3,0,Linear,https://ctmrepository.com/map_dl/Unassumingv1.2.zip,1,0,a simple straightforward map that is exactly what it looks like on the surface no tricks no twists just pure fun remember to use your noggin and have fun,simple straightforward exactly looks like surface tricks twists pure fun remember use noggin fun,a simple straightforward map that is exactly what it looks like on the surface no tricks no twists just pure funbr remember to use your noggin and have funbrbr made for strawberry jam eighteen mind gamesbrbr changelog v12br nerfed herobrinebr added more clownsbr made the mind games involve one more brainpowerbr removed fatal bug that allowed players to skip to the end via magicbrbr changelog v11br nerfed spawnersbr altered some terrain for easier traversingbr fixed spawn point issuesbr command block output should now be hidden,simple straightforward exactly looks like surface tricks twists pure funbr remember use noggin funbrbr made strawberry jam eighteen mind gamesbrbr changelog v12br nerfed herobrinebr added clownsbr made mind games involve one brainpowerbr removed fatal bug allowed players skip end via magicbrbr changelog v11br nerfed spawnersbr altered terrain easier traversingbr fixed spawn point issuesbr command output hidden
6,20190118,Frostburn,Cold Fusion,Easy,Short,A great map for newcomers to the CTM genre. Follow in the footsteps of Professor Serene B. Orange as you navigate a mysterious realm of deceit and frost.,"Frostburn is a nice, gentle introduction to CTMs. Or for CTM veterans, a relaxing vacation. Except it isn't so relaxing, since you're stuck in a frozen world full of monsters trying to kill you.
<br><br>
<b><a href=""https://ctmrepository.com/index.php?action=viewMap&id=316"">Please check out the remastered version here</a></b>
<br><br>
<a href=""https://ctmrepository.com/map_dl/=Frostburn=+by+ColdFusionGaming.zip"">Download This (OLD) Version</a>
<br><br>
<b><a href=""https://ctmrepository.com/index.php?action=viewMap&id=316"">Please check out the remastered version here</a></b>",/map_img/5.jpg,1.8.8,2660,,3,0,Open World,https://ctmrepository.com/index.php?action=viewMap&id=316,1,0,a great map for newcomers to the ctm genre follow in the footsteps of professor serene b orange as you navigate a mysterious realm of deceit and frost,great newcomers ctm genre follow footsteps professor serene b orange navigate mysterious realm deceit frost,frostburn is a nice gentle introduction to ctms or for ctm veterans a relaxing vacation except it isnt so relaxing since youre stuck in a frozen world full of monsters trying to kill you brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check out the remastered version hereab brbr a hrefhttpsctmrepositorycommapdlfrostburnbycoldfusiongamingzipdownload this old versiona brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check out the remastered version hereab,frostburn nice gentle introduction ctm veterans relaxing vacation except isnt relaxing since youre stuck frozen full monsters trying kill brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check remastered version hereab brbr hrefhttpsctmrepositorycommapdlfrostburnbycoldfusiongamingzipdownload old versiona brbr ba hrefhttpsctmrepositorycomindexphpactionviewmapid316please check remastered version hereab
7,20190118,Island Adventure,Tala and Athena,Easy,Short,"Shipwrecked on a lonely island, you must find and collect the mysterious remnants of an ancient civilization and restore them to their proper place in this island-hopping adventure.","Shipwrecked on a lonely island, you must find and collect the mysterious remnants of an ancient civilization and restore them to their proper place in this island-hopping adventure.<br><br>

PLEASE NOTE: The current version starts in Peaceful and you'll have to change the difficulty yourself",/map_img/6.png,1.12,2874,,6,0,Open World,https://www.mediafire.com/file/ktjb3bjmgyxlt96/Island_Adventure_v1.1.zip/file,1,0,shipwrecked on a lonely island you must find and collect the mysterious remnants of an ancient civilization and restore them to their proper place in this islandhopping adventure,shipwrecked lonely island must find collect mysterious remnants ancient civilization restore proper place islandhopping adventure,shipwrecked on a lonely island you must find and collect the mysterious remnants of an ancient civilization and restore them to their proper place in this islandhopping adventurebrbr please note the current version starts in peaceful and youll have to change the difficulty yourself,shipwrecked lonely island must find collect mysterious remnants ancient civilization restore proper place islandhopping adventurebrbr please note current version starts peaceful youll change difficulty
8,20190118,Dwarven Memories,"Vehudur, Teewie, Fornan_II",Medium,Medium,"A medium length mini CTM of medium-hard difficulty. See if you can defeat all of the map's deadly challenges, avoid all of its mischievous traps and find all the hidden emeralds.","This map was made primarily by Vehudur and Teewie, with substantial help from friends including Fornan_II, RenderXR and Omegaplayer.<br><br>

See if you can defeat all of the map's deadly challenges, avoid all of its mischievous traps and find all the hidden emeralds. Due to a glitch in Minecraft 1.13.2, some areas may lag with even a small number of particles. If this happens, the only solution is to turn down particle effects. Optifine is recommended to play this map, but not required.",/map_img/7.png,1.13.2,6246,,4,9,Branching,https://ctmrepository.com/map_dl/Dwarven Memories - CTM for 1.13.2 - v1.zip,1,0,a medium length mini ctm of mediumhard difficulty see if you can defeat all of the maps deadly challenges avoid all of its mischievous traps and find all the hidden emeralds,medium length mini ctm mediumhard difficulty see defeat deadly challenges avoid mischievous traps find hidden emeralds,"this map was made primarily by vehudur and teewie with substantial help from friends including fornanii renderxr and omegaplayerbrbr see if you can defeat all of the maps deadly challenges avoid all of its mischievous traps and find all the hidden emeralds due to a glitch in minecraft one thousand, one hundred and thirty-two some areas may lag with even a small number of particles if this happens the only solution is to turn down particle effects optifine is recommended to play this map but not required","made primarily vehudur teewie substantial help friends including fornanii renderxr omegaplayerbrbr see defeat deadly challenges avoid mischievous traps find hidden emeralds due glitch one thousand, one hundred thirty-two areas may lag even small number particles happens solution turn particle effects optifine recommended play required"
9,20190118,WinterStorm,Tecnocraft2802,Medium,Medium,"WINTER STORM es un mapa MiniCTM de la 1.12.2.<br>
EstÃ¡s atrapado en las altas montaÃ±as bajo una tormenta de nieve, tendrÃ¡s que sobrevir como puedas y intentar no morir por causa de la hipotermia..","WINTER STORM<br><br>

â† CREATED BY: Tecnocraft2802 â†<br><br>

WINTER STORM es un mapa MiniCTM de la 1.12.2.<br>
EstÃ¡s atrapado en las altas montaÃ±as bajo una tormenta de nieve, tendrÃ¡s que sobrevir como puedas y intentar no morir por causa de la hipotermia.<br><br><br>


       â‹ REGLAS â‹<br><br>

â† Jugar en la versiÃ³n 1.12.2<br><br>

â† No aprovecharse de bugs que te proporcionen ventajas.<br><br>

â† No modificar o usar comandos.<br><br>

â† Si mueres las lanas se perderÃ¡n, procura guardarlas siempre en un lugar seguro.<br><br>

â† Chunks recomendados 10 o mÃ¡s.<br><br>

â† PartÃ­culas: Todas<br><br>

â† No subir ni intentar salir de los limites del mapa.<br><br>

â† EstÃ¡s en plena montaÃ±a nevada y eso podrÃ­a afectar a tu salud, intenta acercarte a las hogueras para subir tu calor corporal y no morir de hipotermia.<br><br><br>


       â‹ OBJETIVO â‹<br><br>

â† Para completar el mapa, deberÃ¡s conseguir las tres lanas y colocarlas en el monumento.<br><br><br>


       â‹ TRAILER â‹<br><br>

https://youtu.be/3N1xL31fxuw",/map_img/8.png,1.12.2,2696,Seasons Time,3,0,Open World,https://ctmrepository.com/map_dl/WINTER STORM [1.12.2] - Tecnocraft2802.rar,1,0,winter storm es un mapa minictm de la 1122br estã¡s atrapado en las altas montaã±as bajo una tormenta de nieve tendrã¡s que sobrevir como puedas y intentar no morir por causa de la hipotermia,winter storm es un mapa minictm de la 1122br estã¡s atrapado en las altas montaã±as bajo una tormenta de nieve tendrã¡s que sobrevir como puedas intentar morir por causa de la hipotermia,winter stormbrbr â† created by tecnocraft2802 â†brbr winter storm es un mapa minictm de la 1122br estã¡s atrapado en las altas montaã±as bajo una tormenta de nieve tendrã¡s que sobrevir como puedas y intentar no morir por causa de la hipotermiabrbrbr â‹ reglas â‹brbr â† jugar en la versiã³n 1122brbr â† no aprovecharse de bugs que te proporcionen ventajasbrbr â† no modificar o usar comandosbrbr â† si mueres las lanas se perderã¡n procura guardarlas siempre en un lugar segurobrbr â† chunks recomendados ten o mã¡sbrbr â† partã­culas todasbrbr â† no subir ni intentar salir de los limites del mapabrbr â† estã¡s en plena montaã±a nevada y eso podrã­a afectar a tu salud intenta acercarte a las hogueras para subir tu calor corporal y no morir de hipotermiabrbrbr â‹ objetivo â‹brbr â† para completar el mapa deberã¡s conseguir las tres lanas y colocarlas en el monumentobrbrbr â‹ trailer â‹brbr httpsyoutube3n1xl31fxuw,winter stormbrbr â† created tecnocraft2802 â†brbr winter storm es un mapa minictm de la 1122br estã¡s atrapado en las altas montaã±as bajo una tormenta de nieve tendrã¡s que sobrevir como puedas intentar morir por causa de la hipotermiabrbrbr â‹ reglas â‹brbr â† jugar en la versiã³n 1122brbr â† aprovecharse de bugs que te proporcionen ventajasbrbr â† modificar usar comandosbrbr â† si mueres las lanas se perderã¡n procura guardarlas siempre en un lugar segurobrbr â† chunks recomendados ten mã¡sbrbr â† partã­culas todasbrbr â† subir ni intentar salir de los limites del mapabrbr â† estã¡s en plena montaã±a nevada eso podrã­a afectar tu salud intenta acercarte las hogueras para subir tu calor corporal morir de hipotermiabrbrbr â‹ objetivo â‹brbr â† para completar el mapa deberã¡s conseguir las tres lanas colocarlas en el monumentobrbrbr â‹ trailer â‹brbr httpsyoutube3n1xl31fxuw
